Date,XRT_Open,XRT_High,XRT_Low,XRT_Close,XRT_Volume,XRT_ATRPercentOfClose20,XRT_SQN25,XRT_SQN50,XRT_SQN100,XRT_SQN200,XRT_MACD,XRT_MACD_Avg,XRT_MACD_Diff,XRT_LinReg10,XRT_LinReg30,XRT_LinReg90,XRT_LinReg270
6/14/2017, 41.19, 41.26, 40.79, 41.17, 3498955, 1.54243015129111, -1.0498382378134, -0.0969291894681012, -0.426047181878972, 0, -0.279346109935695, -0.368914083481162, 0.0895679735454675, 40.9336363636366, 40.2629462365588, 41.200905982906, 41.1485468095016
6/15/2017, 40.83, 40.98, 40.31, 40.66, 3653804, 1.58944311023665, -1.39168967558527, -0.138509662269317, -0.461484530425785, 0, -0.289673637298854, -0.353065994244701, 0.0633923569458464, 40.9305454545457, 40.2407956989243, 41.1391452991453, 41.1078428680397
6/16/2017, 39.79, 40.02, 39.16, 39.97, 8229252, 1.72367823415339, -1.29417195721308, -0.229021451069554, -0.730751014713981, 0, -0.349506615862026, -0.352354118568166, 0.00284750270613954, 40.6745454545457, 40.1296559139781, 41.0435115995116, 41.0447796101949
6/19/2017, 40.14, 40.3, 39.63, 40.14, 4114930, 1.71401714170791, -0.909533601612854, -0.449414858374745, -0.729561753770953, 0, -0.378840070680901, -0.357651308990713, -0.0211887616901886, 40.5478181818184, 40.0994838709673, 40.9717118437119, 40.9894916003537
6/20/2017, 40.07, 40.07, 39.28, 39.32, 4879945, 1.77163315525808, -1.20512763643845, -0.653624075878401, -0.792338635806662, 0, -0.462917961827536, -0.378704639558077, -0.0842133222694584, 40.0205454545457, 39.9775698924727, 40.8826080586081, 40.9082688686079
6/21/2017, 39.23, 39.45, 38.65, 38.8, 2744081, 1.80870064127604, -1.28553809681784, -1.01648155253187, -0.790885910008029, 0, -0.56499701657971, -0.415963114962404, -0.149033901617306, 39.4040000000003, 39.8504301075264, 40.7806788766789, 40.8121335992024
6/22/2017, 38.81, 39.28, 38.76, 39.06, 2479737, 1.77339236142947, -0.828618506095145, -1.0538293817511, -0.759326535128218, 0, -0.617794030797739, -0.456329298129471, -0.161464732668268, 38.9547272727275, 39.8091397849457, 40.6819536019536, 40.7275378151261
6/23/2017, 39, 39.53, 38.84, 39.53, 3222528, 1.75196737555181, -0.625233044751408, -0.751967541280819, -0.72709689030827, 0, -0.614625947569152, -0.487988628017407, -0.126637319551745, 38.8601818181821, 39.7806666666662, 40.6170256410257, 40.6609696969697
6/26/2017, 39.6, 40.28, 39.5, 40.25, 3291982, 1.73149085311267, -0.272057760520232, -0.389153404176971, -0.475255169540852, 0, -0.547703649340839, -0.499931632282094, -0.0477720170587454, 39.1187272727275, 39.8133548387092, 40.5956971916972, 40.6199309036716
6/27/2017, 40.14, 40.69, 40.09, 40.25, 3965847, 1.71945047194772, -0.424766157805366, -0.504331140128288, -0.463005741033529, 0, -0.489030012274888, -0.497751308280653, 0.00872129600576438, 39.4483636363639, 39.8541720430103, 40.556927960928, 40.5801719312275
